════════════════════════════════════════════════════════════
 Графік чергування — C(16, 3) = 560 варіантів
════════════════════════════════════════════════════════════
      1    | Студент_01      | Студент_02      | Студент_03     
    115    | Студент_02      | Студент_03      | Студент_13     
    116    | Студент_02      | Студент_03      | Студент_14     
    117    | Студент_02      | Студент_03      | Студент_15     
    118    | Студент_02      | Студент_03      | Студент_16     
    119    | Студент_02      | Студент_04      | Студент_05     
    120    | Студент_02      | Студент_04      | Студент_06     
    121    | Студент_02      | Студент_04      | Студент_07     
    122    | Студент_02      | Студент_04      | Студент_08     
    123    | Студент_02      | Студент_04      | Студент_09     
    124    | Студент_02      | Студент_04      | Студент_10     
    125    | Студент_02      | Студент_04      | Студент_11     
    126    | Студент_02      | Студент_04      | Студент_12     
    127    | Студент_02      | Студент_04      | Студент_13     
    128    | Студент_02      | Студент_04      | Студент_14     
    129    | Студент_02      | Студент_04      | Студент_15     
    130    | Студент_02      | Студент_04      | Студент_16     
    131    | Студент_02      | Студент_05      | Студент_06     
    132    | Студент_02      | Студент_05      | Студент_07     
    133    | Студент_02      | Студент_05      | Студент_08     
    134    | Студент_02      | Студент_05      | Студент_09     
    135    | Студент_02      | Студент_05      | Студент_10     
    136    | Студент_02      | Студент_05      | Студент_11     
    137    | Студент_02      | Студент_05      | Студент_12     
    138    | Студент_02      | Студент_05      | Студент_13     
    139    | Студент_02      | Студент_05      | Студент_14     
    140    | Студент_02      | Студент_05      | Студент_15     
    141    | Студент_02      | Студент_05      | Студент_16     
    142    | Студент_02      | Студент_06      | Студент_07     
    143    | Студент_02      | Студент_06      | Студент_08     
    144    | Студент_02      | Студент_06      | Студент_09     
    145    | Студент_02      | Студент_06      | Студент_10     
    146    | Студент_02      | Студент_06      | Студент_11     
    147    | Студент_02      | Студент_06      | Студент_12     
    148    | Студент_02      | Студент_06      | Студент_13     
    149    | Студент_02      | Студент_06      | Студент_14     
    150    | Студент_02      | Студент_06      | Студент_15     
    151    | Студент_02      | Студент_06      | Студент_16     
    152    | Студент_02      | Студент_07      | Студент_08     
    153    | Студент_02      | Студент_07      | Студент_09     
    154    | Студент_02      | Студент_07      | Студент_10     
    155    | Студент_02      | Студент_07      | Студент_11     
    156    | Студент_02      | Студент_07      | Студент_12     
    157    | Студент_02      | Студент_07      | Студент_13     
    158    | Студент_02      | Студент_07      | Студент_14     
    159    | Студент_02      | Студент_07      | Студент_15     
    160    | Студент_02      | Студент_07      | Студент_16     
    161    | Студент_02      | Студент_08      | Студент_09     
    162    | Студент_02      | Студент_08      | Студент_10     
    163    | Студент_02      | Студент_08      | Студент_11     
    164    | Студент_02      | Студент_08      | Студент_12     
    165    | Студент_02      | Студент_08      | Студент_13     
    166    | Студент_02      | Студент_08      | Студент_14     
    167    | Студент_02      | Студент_08      | Студент_15     
    168    | Студент_02      | Студент_08      | Студент_16     
    169    | Студент_02      | Студент_09      | Студент_10     
    170    | Студент_02      | Студент_09      | Студент_11     
    171    | Студент_02      | Студент_09      | Студент_12     
    172    | Студент_02      | Студент_09      | Студент_13     
    173    | Студент_02      | Студент_09      | Студент_14     
    174    | Студент_02      | Студент_09      | Студент_15     
    175    | Студент_02      | Студент_09      | Студент_16     
    176    | Студент_02      | Студент_10      | Студент_11     
    177    | Студент_02      | Студент_10      | Студент_12     
    178    | Студент_02      | Студент_10      | Студент_13     
    179    | Студент_02      | Студент_10      | Студент_14     
    180    | Студент_02      | Студент_10      | Студент_15     
    181    | Студент_02      | Студент_10      | Студент_16     
    182    | Студент_02      | Студент_11      | Студент_12     
    183    | Студент_02      | Студент_11      | Студент_13     
    184    | Студент_02      | Студент_11      | Студент_14     
    185    | Студент_02      | Студент_11      | Студент_15     
    186    | Студент_02      | Студент_11      | Студент_16     
    187    | Студент_02      | Студент_12      | Студент_13     
    188    | Студент_02      | Студент_12      | Студент_14     
    189    | Студент_02      | Студент_12      | Студент_15     
    190    | Студент_02      | Студент_12      | Студент_16     
    191    | Студент_02      | Студент_13      | Студент_14     
    192    | Студент_02      | Студент_13      | Студент_15     
    193    | Студент_02      | Студент_13      | Студент_16     
    194    | Студент_02      | Студент_14      | Студент_15     
    195    | Студент_02      | Студент_14      | Студент_16     
    196    | Студент_02      | Студент_15      | Студент_16     
    197    | Студент_03      | Студент_04      | Студент_05     
    198    | Студент_03      | Студент_04      | Студент_06     
    199    | Студент_03      | Студент_04      | Студент_07     
    200    | Студент_03      | Студент_04      | Студент_08     
    201    | Студент_03      | Студент_04      | Студент_09     
    202    | Студент_03      | Студент_04      | Студент_10     
    203    | Студент_03      | Студент_04      | Студент_11     
    204    | Студент_03      | Студент_04      | Студент_12     
    205    | Студент_03      | Студент_04      | Студент_13     
    206    | Студент_03      | Студент_04      | Студент_14     
    207    | Студент_03      | Студент_04      | Студент_15     
    208    | Студент_03      | Студент_04      | Студент_16     
    209    | Студент_03      | Студент_05      | Студент_06     
    210    | Студент_03      | Студент_05      | Студент_07     
    211    | Студент_03      | Студент_05      | Студент_08     
    212    | Студент_03      | Студент_05      | Студент_09     
    213    | Студент_03      | Студент_05      | Студент_10     
    214    | Студент_03      | Студент_05      | Студент_11     
    215    | Студент_03      | Студент_05      | Студент_12     
    216    | Студент_03      | Студент_05      | Студент_13     
    217    | Студент_03      | Студент_05      | Студент_14     
    218    | Студент_03      | Студент_05      | Студент_15     
    219    | Студент_03      | Студент_05      | Студент_16     
    220    | Студент_03      | Студент_06      | Студент_07     
    221    | Студент_03      | Студент_06      | Студент_08     
    222    | Студент_03      | Студент_06      | Студент_09     
    223    | Студент_03      | Студент_06      | Студент_10     
    224    | Студент_03      | Студент_06      | Студент_11     
    225    | Студент_03      | Студент_06      | Студент_12     
    226    | Студент_03      | Студент_06      | Студент_13     
    227    | Студент_03      | Студент_06      | Студент_14     
    228    | Студент_03      | Студент_06      | Студент_15     
    229    | Студент_03      | Студент_06      | Студент_16     
    230    | Студент_03      | Студент_07      | Студент_08     
    231    | Студент_03      | Студент_07      | Студент_09     
    232    | Студент_03      | Студент_07      | Студент_10     
    233    | Студент_03      | Студент_07      | Студент_11     
    234    | Студент_03      | Студент_07      | Студент_12     
    235    | Студент_03      | Студент_07      | Студент_13     
    236    | Студент_03      | Студент_07      | Студент_14     
    237    | Студент_03      | Студент_07      | Студент_15     
    238    | Студент_03      | Студент_07      | Студент_16     
    239    | Студент_03      | Студент_08      | Студент_09     
    240    | Студент_03      | Студент_08      | Студент_10     
    241    | Студент_03      | Студент_08      | Студент_11     
    242    | Студент_03      | Студент_08      | Студент_12     
    243    | Студент_03      | Студент_08      | Студент_13     
    244    | Студент_03      | Студент_08      | Студент_14     
    245    | Студент_03      | Студент_08      | Студент_15     
    246    | Студент_03      | Студент_08      | Студент_16     
    247    | Студент_03      | Студент_09      | Студент_10     
    248    | Студент_03      | Студент_09      | Студент_11     
    249    | Студент_03      | Студент_09      | Студент_12     
    250    | Студент_03      | Студент_09      | Студент_13     
    251    | Студент_03      | Студент_09      | Студент_14     
    252    | Студент_03      | Студент_09      | Студент_15     
    253    | Студент_03      | Студент_09      | Студент_16     
    254    | Студент_03      | Студент_10      | Студент_11     
    255    | Студент_03      | Студент_10      | Студент_12     
    256    | Студент_03      | Студент_10      | Студент_13     
    257    | Студент_03      | Студент_10      | Студент_14     
    258    | Студент_03      | Студент_10      | Студент_15     
    259    | Студент_03      | Студент_10      | Студент_16     
    260    | Студент_03      | Студент_11      | Студент_12     
    261    | Студент_03      | Студент_11      | Студент_13     
    262    | Студент_03      | Студент_11      | Студент_14     
    263    | Студент_03      | Студент_11      | Студент_15     
    264    | Студент_03      | Студент_11      | Студент_16     
    265    | Студент_03      | Студент_12      | Студент_13     
    266    | Студент_03      | Студент_12      | Студент_14     
    267    | Студент_03      | Студент_12      | Студент_15     
    268    | Студент_03      | Студент_12      | Студент_16     
    269    | Студент_03      | Студент_13      | Студент_14     
    270    | Студент_03      | Студент_13      | Студент_15     
    271    | Студент_03      | Студент_13      | Студент_16     
    272    | Студент_03      | Студент_14      | Студент_15     
    273    | Студент_03      | Студент_14      | Студент_16     
    274    | Студент_03      | Студент_15      | Студент_16     
    275    | Студент_04      | Студент_05      | Студент_06     
    276    | Студент_04      | Студент_05      | Студент_07     
    277    | Студент_04      | Студент_05      | Студент_08     
    278    | Студент_04      | Студент_05      | Студент_09     
    279    | Студент_04      | Студент_05      | Студент_10     
    280    | Студент_04      | Студент_05      | Студент_11     
    281    | Студент_04      | Студент_05      | Студент_12     
    282    | Студент_04      | Студент_05      | Студент_13     
    283    | Студент_04      | Студент_05      | Студент_14     
    284    | Студент_04      | Студент_05      | Студент_15     
    285    | Студент_04      | Студент_05      | Студент_16     
    286    | Студент_04      | Студент_06      | Студент_07     
    287    | Студент_04      | Студент_06      | Студент_08     
    288    | Студент_04      | Студент_06      | Студент_09     
    289    | Студент_04      | Студент_06      | Студент_10     
    290    | Студент_04      | Студент_06      | Студент_11     
    291    | Студент_04      | Студент_06      | Студент_12     
    292    | Студент_04      | Студент_06      | Студент_13     
    293    | Студент_04      | Студент_06      | Студент_14     
    294    | Студент_04      | Студент_06      | Студент_15     
    295    | Студент_04      | Студент_06      | Студент_16     
    296    | Студент_04      | Студент_07      | Студент_08     
    297    | Студент_04      | Студент_07      | Студент_09     
    298    | Студент_04      | Студент_07      | Студент_10     
    299    | Студент_04      | Студент_07      | Студент_11     
    300    | Студент_04      | Студент_07      | Студент_12     
    301    | Студент_04      | Студент_07      | Студент_13     
    302    | Студент_04      | Студент_07      | Студент_14     
    303    | Студент_04      | Студент_07      | Студент_15     
    304    | Студент_04      | Студент_07      | Студент_16     
    305    | Студент_04      | Студент_08      | Студент_09     
    306    | Студент_04      | Студент_08      | Студент_10     
    307    | Студент_04      | Студент_08      | Студент_11     
    308    | Студент_04      | Студент_08      | Студент_12     
    309    | Студент_04      | Студент_08      | Студент_13     
    310    | Студент_04      | Студент_08      | Студент_14     
    311    | Студент_04      | Студент_08      | Студент_15     
    312    | Студент_04      | Студент_08      | Студент_16     
    313    | Студент_04      | Студент_09      | Студент_10     
    314    | Студент_04      | Студент_09      | Студент_11     
    315    | Студент_04      | Студент_09      | Студент_12     
    316    | Студент_04      | Студент_09      | Студент_13     
    317    | Студент_04      | Студент_09      | Студент_14     
    318    | Студент_04      | Студент_09      | Студент_15     
    319    | Студент_04      | Студент_09      | Студент_16     
    320    | Студент_04      | Студент_10      | Студент_11     
    321    | Студент_04      | Студент_10      | Студент_12     
    322    | Студент_04      | Студент_10      | Студент_13     
    323    | Студент_04      | Студент_10      | Студент_14     
    324    | Студент_04      | Студент_10      | Студент_15     
    325    | Студент_04      | Студент_10      | Студент_16     
    326    | Студент_04      | Студент_11      | Студент_12     
    327    | Студент_04      | Студент_11      | Студент_13     
    328    | Студент_04      | Студент_11      | Студент_14     
    329    | Студент_04      | Студент_11      | Студент_15     
    330    | Студент_04      | Студент_11      | Студент_16     
    331    | Студент_04      | Студент_12      | Студент_13     
    332    | Студент_04      | Студент_12      | Студент_14     
    333    | Студент_04      | Студент_12      | Студент_15     
    334    | Студент_04      | Студент_12      | Студент_16     
    335    | Студент_04      | Студент_13      | Студент_14     
    336    | Студент_04      | Студент_13      | Студент_15     
    337    | Студент_04      | Студент_13      | Студент_16     
    338    | Студент_04      | Студент_14      | Студент_15     
    339    | Студент_04      | Студент_14      | Студент_16     
    340    | Студент_04      | Студент_15      | Студент_16     
    341    | Студент_05      | Студент_06      | Студент_07     
    342    | Студент_05      | Студент_06      | Студент_08     
    343    | Студент_05      | Студент_06      | Студент_09     
    344    | Студент_05      | Студент_06      | Студент_10     
    345    | Студент_05      | Студент_06      | Студент_11     
    346    | Студент_05      | Студент_06      | Студент_12     
    347    | Студент_05      | Студент_06      | Студент_13     
    348    | Студент_05      | Студент_06      | Студент_14     
    349    | Студент_05      | Студент_06      | Студент_15     
    350    | Студент_05      | Студент_06      | Студент_16     
    351    | Студент_05      | Студент_07      | Студент_08     
    352    | Студент_05      | Студент_07      | Студент_09     
    353    | Студент_05      | Студент_07      | Студент_10     
    354    | Студент_05      | Студент_07      | Студент_11     
    355    | Студент_05      | Студент_07      | Студент_12     
    356    | Студент_05      | Студент_07      | Студент_13     
    357    | Студент_05      | Студент_07      | Студент_14     
    358    | Студент_05      | Студент_07      | Студент_15     
    359    | Студент_05      | Студент_07      | Студент_16     
    360    | Студент_05      | Студент_08      | Студент_09     
    361    | Студент_05      | Студент_08      | Студент_10     
    362    | Студент_05      | Студент_08      | Студент_11     
    363    | Студент_05      | Студент_08      | Студент_12     
    364    | Студент_05      | Студент_08      | Студент_13     
    365    | Студент_05      | Студент_08      | Студент_14     
    366    | Студент_05      | Студент_08      | Студент_15     
    367    | Студент_05      | Студент_08      | Студент_16     
    368    | Студент_05      | Студент_09      | Студент_10     
    369    | Студент_05      | Студент_09      | Студент_11     
    370    | Студент_05      | Студент_09      | Студент_12     
    371    | Студент_05      | Студент_09      | Студент_13     
    372    | Студент_05      | Студент_09      | Студент_14     
    373    | Студент_05      | Студент_09      | Студент_15     
    374    | Студент_05      | Студент_09      | Студент_16     
    375    | Студент_05      | Студент_10      | Студент_11     
    376    | Студент_05      | Студент_10      | Студент_12     
    377    | Студент_05      | Студент_10      | Студент_13     
    378    | Студент_05      | Студент_10      | Студент_14     
    379    | Студент_05      | Студент_10      | Студент_15     
    380    | Студент_05      | Студент_10      | Студент_16     
    381    | Студент_05      | Студент_11      | Студент_12     
    382    | Студент_05      | Студент_11      | Студент_13     
    383    | Студент_05      | Студент_11      | Студент_14     
    384    | Студент_05      | Студент_11      | Студент_15     
    385    | Студент_05      | Студент_11      | Студент_16     
    386    | Студент_05      | Студент_12      | Студент_13     
    387    | Студент_05      | Студент_12      | Студент_14     
    388    | Студент_05      | Студент_12      | Студент_15     
    389    | Студент_05      | Студент_12      | Студент_16     
    390    | Студент_05      | Студент_13      | Студент_14     
    391    | Студент_05      | Студент_13      | Студент_15     
    392    | Студент_05      | Студент_13      | Студент_16     
    393    | Студент_05      | Студент_14      | Студент_15     
    394    | Студент_05      | Студент_14      | Студент_16     
    395    | Студент_05      | Студент_15      | Студент_16     
    396    | Студент_06      | Студент_07      | Студент_08     
    397    | Студент_06      | Студент_07      | Студент_09     
    398    | Студент_06      | Студент_07      | Студент_10     
    399    | Студент_06      | Студент_07      | Студент_11     
    400    | Студент_06      | Студент_07      | Студент_12     
    401    | Студент_06      | Студент_07      | Студент_13     
    402    | Студент_06      | Студент_07      | Студент_14     
    403    | Студент_06      | Студент_07      | Студент_15     
    404    | Студент_06      | Студент_07      | Студент_16     
    405    | Студент_06      | Студент_08      | Студент_09     
    406    | Студент_06      | Студент_08      | Студент_10     
    407    | Студент_06      | Студент_08      | Студент_11     
    408    | Студент_06      | Студент_08      | Студент_12     
    409    | Студент_06      | Студент_08      | Студент_13     
    410    | Студент_06      | Студент_08      | Студент_14     
    411    | Студент_06      | Студент_08      | Студент_15     
    412    | Студент_06      | Студент_08      | Студент_16     
    413    | Студент_06      | Студент_09      | Студент_10     
    414    | Студент_06      | Студент_09      | Студент_11     
    415    | Студент_06      | Студент_09      | Студент_12     
    416    | Студент_06      | Студент_09      | Студент_13     
    417    | Студент_06      | Студент_09      | Студент_14     
    418    | Студент_06      | Студент_09      | Студент_15     
    419    | Студент_06      | Студент_09      | Студент_16     
    420    | Студент_06      | Студент_10      | Студент_11     
    421    | Студент_06      | Студент_10      | Студент_12     
    422    | Студент_06      | Студент_10      | Студент_13     
    423    | Студент_06      | Студент_10      | Студент_14     
    424    | Студент_06      | Студент_10      | Студент_15     
    425    | Студент_06      | Студент_10      | Студент_16     
    426    | Студент_06      | Студент_11      | Студент_12     
    427    | Студент_06      | Студент_11      | Студент_13     
    428    | Студент_06      | Студент_11      | Студент_14     
    429    | Студент_06      | Студент_11      | Студент_15     
    430    | Студент_06      | Студент_11      | Студент_16     
    431    | Студент_06      | Студент_12      | Студент_13     
    432    | Студент_06      | Студент_12      | Студент_14     
    433    | Студент_06      | Студент_12      | Студент_15     
    434    | Студент_06      | Студент_12      | Студент_16     
    435    | Студент_06      | Студент_13      | Студент_14     
    436    | Студент_06      | Студент_13      | Студент_15     
    437    | Студент_06      | Студент_13      | Студент_16     
    438    | Студент_06      | Студент_14      | Студент_15     
    439    | Студент_06      | Студент_14      | Студент_16     
    440    | Студент_06      | Студент_15      | Студент_16     
    441    | Студент_07      | Студент_08      | Студент_09     
    442    | Студент_07      | Студент_08      | Студент_10     
    443    | Студент_07      | Студент_08      | Студент_11     
    444    | Студент_07      | Студент_08      | Студент_12     
    445    | Студент_07      | Студент_08      | Студент_13     
    446    | Студент_07      | Студент_08      | Студент_14     
    447    | Студент_07      | Студент_08      | Студент_15     
    448    | Студент_07      | Студент_08      | Студент_16     
    449    | Студент_07      | Студент_09      | Студент_10     
    450    | Студент_07      | Студент_09      | Студент_11     
    451    | Студент_07      | Студент_09      | Студент_12     
    452    | Студент_07      | Студент_09      | Студент_13     
    453    | Студент_07      | Студент_09      | Студент_14     
    454    | Студент_07      | Студент_09      | Студент_15     
    455    | Студент_07      | Студент_09      | Студент_16     
    456    | Студент_07      | Студент_10      | Студент_11     
    457    | Студент_07      | Студент_10      | Студент_12     
    458    | Студент_07      | Студент_10      | Студент_13     
    459    | Студент_07      | Студент_10      | Студент_14     
    460    | Студент_07      | Студент_10      | Студент_15     
    461    | Студент_07      | Студент_10      | Студент_16     
    462    | Студент_07      | Студент_11      | Студент_12     
    463    | Студент_07      | Студент_11      | Студент_13     
    464    | Студент_07      | Студент_11      | Студент_14     
    465    | Студент_07      | Студент_11      | Студент_15     
    466    | Студент_07      | Студент_11      | Студент_16     
    467    | Студент_07      | Студент_12      | Студент_13     
    468    | Студент_07      | Студент_12      | Студент_14     
    469    | Студент_07      | Студент_12      | Студент_15     
    470    | Студент_07      | Студент_12      | Студент_16     
    471    | Студент_07      | Студент_13      | Студент_14     
    472    | Студент_07      | Студент_13      | Студент_15     
    473    | Студент_07      | Студент_13      | Студент_16     
    474    | Студент_07      | Студент_14      | Студент_15     
    475    | Студент_07      | Студент_14      | Студент_16     
    476    | Студент_07      | Студент_15      | Студент_16     
    477    | Студент_08      | Студент_09      | Студент_10     
    478    | Студент_08      | Студент_09      | Студент_11     
    479    | Студент_08      | Студент_09      | Студент_12     
    480    | Студент_08      | Студент_09      | Студент_13     
    481    | Студент_08      | Студент_09      | Студент_14     
    482    | Студент_08      | Студент_09      | Студент_15     
    483    | Студент_08      | Студент_09      | Студент_16     
    484    | Студент_08      | Студент_10      | Студент_11     
    485    | Студент_08      | Студент_10      | Студент_12     
    486    | Студент_08      | Студент_10      | Студент_13     
    487    | Студент_08      | Студент_10      | Студент_14     
    488    | Студент_08      | Студент_10      | Студент_15     
    489    | Студент_08      | Студент_10      | Студент_16     
    490    | Студент_08      | Студент_11      | Студент_12     
    491    | Студент_08      | Студент_11      | Студент_13     
    492    | Студент_08      | Студент_11      | Студент_14     
    493    | Студент_08      | Студент_11      | Студент_15     
    494    | Студент_08      | Студент_11      | Студент_16     
    495    | Студент_08      | Студент_12      | Студент_13     
    496    | Студент_08      | Студент_12      | Студент_14     
    497    | Студент_08      | Студент_12      | Студент_15     
    498    | Студент_08      | Студент_12      | Студент_16     
    499    | Студент_08      | Студент_13      | Студент_14     
    500    | Студент_08      | Студент_13      | Студент_15     
    501    | Студент_08      | Студент_13      | Студент_16     
    502    | Студент_08      | Студент_14      | Студент_15     
    503    | Студент_08      | Студент_14      | Студент_16     
    504    | Студент_08      | Студент_15      | Студент_16     
    505    | Студент_09      | Студент_10      | Студент_11     
    506    | Студент_09      | Студент_10      | Студент_12     
    507    | Студент_09      | Студент_10      | Студент_13     
    508    | Студент_09      | Студент_10      | Студент_14     
    509    | Студент_09      | Студент_10      | Студент_15     
    510    | Студент_09      | Студент_10      | Студент_16     
    511    | Студент_09      | Студент_11      | Студент_12     
    512    | Студент_09      | Студент_11      | Студент_13     
    513    | Студент_09      | Студент_11      | Студент_14     
    514    | Студент_09      | Студент_11      | Студент_15     
    515    | Студент_09      | Студент_11      | Студент_16     
    516    | Студент_09      | Студент_12      | Студент_13     
    517    | Студент_09      | Студент_12      | Студент_14     
    518    | Студент_09      | Студент_12      | Студент_15     
    519    | Студент_09      | Студент_12      | Студент_16     
    520    | Студент_09      | Студент_13      | Студент_14     
    521    | Студент_09      | Студент_13      | Студент_15     
    522    | Студент_09      | Студент_13      | Студент_16     
    523    | Студент_09      | Студент_14      | Студент_15     
    524    | Студент_09      | Студент_14      | Студент_16     
    525    | Студент_09      | Студент_15      | Студент_16     
    526    | Студент_10      | Студент_11      | Студент_12     
    527    | Студент_10      | Студент_11      | Студент_13     
    528    | Студент_10      | Студент_11      | Студент_14     
    529    | Студент_10      | Студент_11      | Студент_15     
    530    | Студент_10      | Студент_11      | Студент_16     
    531    | Студент_10      | Студент_12      | Студент_13     
    532    | Студент_10      | Студент_12      | Студент_14     
    533    | Студент_10      | Студент_12      | Студент_15     
    534    | Студент_10      | Студент_12      | Студент_16     
    535    | Студент_10      | Студент_13      | Студент_14     
    536    | Студент_10      | Студент_13      | Студент_15     
    537    | Студент_10      | Студент_13      | Студент_16     
    538    | Студент_10      | Студент_14      | Студент_15     
    539    | Студент_10      | Студент_14      | Студент_16     
    540    | Студент_10      | Студент_15      | Студент_16     
    541    | Студент_11      | Студент_12      | Студент_13     
    542    | Студент_11      | Студент_12      | Студент_14     
    543    | Студент_11      | Студент_12      | Студент_15     
    544    | Студент_11      | Студент_12      | Студент_16     
    545    | Студент_11      | Студент_13      | Студент_14     
    546    | Студент_11      | Студент_13      | Студент_15     
    547    | Студент_11      | Студент_13      | Студент_16     
    548    | Студент_11      | Студент_14      | Студент_15     
    549    | Студент_11      | Студент_14      | Студент_16     
    550    | Студент_11      | Студент_15      | Студент_16     
    551    | Студент_12      | Студент_13      | Студент_14     
    552    | Студент_12      | Студент_13      | Студент_15     
    553    | Студент_12      | Студент_13      | Студент_16     
    554    | Студент_12      | Студент_14      | Студент_15     
